"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
Mauritius,"18,979",,240,,"1,854",,,,,,,,
Congo,"18,153",,309,,"12,421",,,,,,,,
Curaçao,"17,225",,175,,"16,952",,,,,,,,
Tajikistan,"17,091",,124,,"16,965",,,,,,,,
Nicaragua,"16,877",,207,,"4,225",,,,,,,,
Mali,"16,666",,585,,"14,836",,,,,,,,
Taiwan,"16,496",,848,,"15,532",,,,,,,,
Aruba,"16,083",,172,,"15,767",,,,,,,,
Andorra,"15,819",,130,,"15,443",,,,,,,,
Iceland,"15,741",,34,,"14,015",,,,,,,,
Burkina Faso,"15,281",,234,,"14,833",,,,,,,,
Channel Islands,"14,519",,100,,"13,250",,,,,,,,
Brunei,"14,215",,96,,"13,562",,,,,,,,
Djibouti,"13,495",,186,,"13,284",,,,,,,,
Equatorial Guinea,"13,485",,168,,"13,110",,,,,,,,
Saint Lucia,"12,837",,270,,"12,318",,,,,,,,
South Sudan,"12,558",,133,,"12,169",,,,,,,,
Hong Kong,"12,388",,213,,"12,092",,,,,,,,
CAR,"11,666",,101,,"6,859",,,,,,,,
New Caledonia,"11,620",,272,,55,,,,,,,,
Isle of Man,"10,255",,64,,"9,837",,,,,,,,
Gambia,"9,980",,341,,"9,624",,,,,,,,
Yemen,"9,918",,"1,923",,"6,623",,,,,,,,
New Zealand,"8,866",,34,,"5,176",,,,,,,,
Eritrea,"7,055",,51,,"6,862",,,,,,,,
Niger,"6,692",,232,,"6,218",,,,,,,,
Gibraltar,"6,561",,98,,"5,991",,,,,,,,
Guinea-Bissau,"6,402",,144,,"6,080",,,,,,,,
Sierra Leone,"6,396",,121,,"4,393",,,,,,,,
Grenada,"5,863",,200,,"5,601",,,,,,,,
Liberia,"5,817",,287,,"5,458",,,,,,,,
Bermuda,"5,708",,106,,"5,544",,,,,,,,
San Marino,"5,598",,92,,"5,439",,,,,,,,
Dominica,"5,336",,35,,"4,937",,,,,,,,
St. Vincent Grenadines,"5,270",,71,,"3,978",,,,,,,,
Chad,"5,105",,175,,"4,874",,,,,,,,
Sint Maarten,"4,532",,75,,"4,428",,,,,,,,
Comoros,"4,396",,149,,"4,161",,,,,,,,
Cayman Islands,"4,203",,2,,"1,352",,,,,,,,
Antigua and Barbuda,"4,118",,107,,"3,902",,,,,,,,
Saint Martin,"3,872",,56,,"1,399",,,,,,,,
Liechtenstein,"3,822",,61,,"3,615",,,,,,,,
Sao Tome and Principe,"3,731",,56,,"3,651",,,,,,,,
Monaco,"3,478",,36,,"3,400",,,,,,,,
Turks and Caicos,"3,045",,23,,"2,966",,,,,,,,
Faeroe Islands,"2,939",,8,,"2,365",,,,,,,,
Saint Kitts and Nevis,"2,749",,27,,"2,649",,,,,,,,
British Virgin Islands,"2,725",,37,,"2,649",,,,,,,,
